word	frequency	rank
странно	4	1082
здоровье	4	1083
хлынул	4	1084
подошвы	4	1085
пить	4	1086
дитя	4	1087
грохотом	4	1088
подряд	4	1089
случиться	4	1090
дремлет	4	1091
утрат	4	1092
сыплет	4	1093
работа	4	1094
книга	4	1095
тела	4	1096
крест	4	1097
Смотрят	4	1098
дрожки	4	1099
ненависть	4	1100
увидал	4	1101
Проходят	4	1102
корзины	4	1103
творенья	4	1104
горле	4	1105
чувствую	4	1106
столетье	4	1107
крыла	4	1108
бывал	4	1109
мечтой	4	1110
издали	4	1111
пальмы	4	1112
эхом	4	1113
Дыханье	4	1114
связи	4	1115
Оставь	4	1116
скользит	4	1117
тысяч	4	1118
рябь	4	1119
сени	4	1120
вышли	4	1121
холост	4	1122
полно	4	1123
дерева	4	1124
обман	4	1125
легенд	4	1126
сырую	4	1127
млечный	4	1128
мукой	4	1129
мокрый	4	1130
золой	4	1131
провода	4	1132
пруды	4	1133
сирень	4	1134
Сады	4	1135
лошадь	4	1136
просит	4	1137
воли	4	1138
точь	4	1139
шлях	4	1140
косой	4	1141
бессонный	4	1142
слушатель	4	1143
галерей	4	1144
бумаги	4	1145
склад	4	1146
петух	4	1147
чужой	4	1148
били	4	1149
наяву	4	1150
жерди	4	1151
гнал	4	1152
покой	4	1153
пылью	4	1154
Листья	4	1155
последней	4	1156
окном	4	1157
кофе	4	1158
обрыв	4	1159
творца	4	1160
Глазами	4	1161
стекол	4	1162
бегу	4	1163
птичка	4	1164
камень	4	1165
Луна	4	1166
словами	4	1167
слышать	4	1168
трудом	4	1169
серой	4	1170
горах	4	1171
перегной	4	1172
катится	4	1173
движущийся	4	1174
твое	4	1175
храп	4	1176
сила	4	1177
сушь	4	1178
пустой	4	1179
взрослых	4	1180
Париже	4	1181
Морской	4	1182
ящик	4	1183
былых	4	1184
шпал	4	1185
луга	4	1186
Выходит	4	1187
горячая	4	1188
летний	4	1189
пурги	4	1190
пьет	4	1191
вуаль	4	1192
росе	4	1193
ропот	4	1194
выхода	4	1195
концов	4	1196
Снаружи	4	1197
Мелькали	4	1198
Горит	4	1199
дай	4	1200
железом	4	1201
сыпались	4	1202
подняться	4	1203
Твое	4	1204
ночные	4	1205
гремит	4	1206
белей	4	1207
ворох	4	1208
далью	4	1209
полотна	4	1210
ладоней	4	1211
пишет	4	1212
уст	4	1213
висли	4	1214
Дух	4	1215
краям	4	1216
крепости	4	1217
платок	4	1218
волна	4	1219
блещет	4	1220
дымом	4	1221
жалко	4	1222
ныряет	4	1223
прочим	4	1224
дышали	4	1225
столбы	4	1226
рассвете	4	1227
порою	4	1228
льет	4	1229
шестой	4	1230
живой	4	1231
полном	4	1232
пятен	4	1233
беда	4	1234
ступала	4	1235
Весной	4	1236
рвет	4	1237
посаде	4	1238
ходу	4	1239
грусти	4	1240
пеной	4	1241
кости	4	1242
пучину	4	1243
дебри	4	1244
Мысль	4	1245
Метель	4	1246
короткий	4	1247
диво	4	1248
садов	4	1249
брод	4	1250
преград	4	1251
видать	4	1252
обморок	4	1253
угол	4	1254
уходит	4	1255
дар	4	1256
пахло	4	1257
баллада	4	1258
чудом	4	1259
пар	4	1260
взор	4	1261
выстрел	4	1262
Лето	4	1263
постель	4	1264
Недышащей	4	1265
девятки	4	1266
шеи	4	1267
детства	4	1268
нежданно	4	1269
вмиг	4	1270
Шел	4	1271
рок	4	1272
ногу	4	1273
приход	4	1274
Трава	4	1275
стыд	4	1276
Черты	4	1277
Подумалось	4	1278
утрам	4	1279
пышет	4	1280
стихотворений	4	1281
русских	4	1282
ноздри	4	1283
каплей	4	1284
губами	4	1285
концом	4	1286
Прощай	4	1287
ведра	4	1288
черная	4	1289
душный	4	1290
блок	4	1291
Днем	4	1292
залп	4	1293
сеть	4	1294
сырых	4	1295
вечерам	4	1296
толпу	4	1297
тылу	4	1298
дыша	4	1299
косы	4	1300
труда	4	1301
осени	4	1302
ближе	4	1303
озаренный	4	1304
весна	4	1305
заметил	4	1306
рельсы	4	1307
странный	4	1308
Вихрь	4	1309
легко	4	1310
людьми	4	1311
пят	4	1312
метелью	4	1313
оконницы	4	1314
зависть	4	1315
затылок	4	1316
платья	4	1317
бешеной	4	1318
застав	4	1319
садится	4	1320
рев	4	1321
дневник	4	1322
дуб	4	1323
совесть	4	1324
Слова	4	1325
Рвется	4	1326
покрыт	4	1327
бога	4	1328
высоты	4	1329
трепет	4	1330
Бросает	4	1331
Чрез	4	1332
камни	4	1333
бури	4	1334
Клубясь	4	1335
путей	4	1336
планет	4	1337
слезами	4	1338
Руками	4	1339
неизвестно	4	1340
сентябре	4	1341
Сухой	4	1342
рань	4	1343
шляпы	4	1344
наспех	4	1345
бока	4	1346
хохот	4	1347
Дорога	4	1348
пополам	4	1349
счастью	4	1350
году	4	1351
тел	4	1352
лени	4	1353
борт	4	1354
Трепещет	4	1355
картин	4	1356
поэта	4	1357
пошел	4	1358
гроб	4	1359
трудно	4	1360
Кавказ	4	1361
Напрасно	4	1362
дежурил	4	1363
мгновенье	4	1364
свету	4	1365
потемки	4	1366
Деревьев	4	1367
Фук	4	1368
Спасибо	4	1369
тополей	4	1370
тес	4	1371
другого	4	1372
рукою	4	1373
десять	4	1374
дано	4	1375
Лет	4	1376
работ	4	1377
иной	4	1378
передней	4	1379
род	4	1380
часть	4	1381
клевещет	4	1382
труд	4	1383
стихах	4	1384
Несли	4	1385
гостиной	4	1386
месту	4	1387
нужда	4	1388
гостей	4	1389
облако	4	1390
Прислушайся	4	1391
часа	4	1392
играла	4	1393
шоссейный	4	1394
думать	4	1395
поперек	4	1396
второй	4	1397
воздуху	4	1398
больших	4	1399
пуст	4	1400
шапок	4	1401
недели	4	1402
Повсюду	4	1403
горячка	4	1404
ручья	4	1405
корней	4	1406
хлеба	4	1407
тает	4	1408
стихает	4	1409
колени	4	1410
аромат	4	1411
сорок	4	1412
верь	4	1413
листа	4	1414
Толпились	4	1415
стуже	4	1416
слышен	4	1417
бегущих	4	1418
родню	4	1419
мух	4	1420
крышу	4	1421
шапке	4	1422
заросли	4	1423
старик	4	1424
бок	4	1425
бешеная	4	1426
крался	4	1427
воздухе	4	1428
улицам	4	1429
черты	4	1430
впредь	4	1431
двадцать	4	1432
глагол	4	1433
мест	4	1434
Наверное	4	1435
плач	4	1436
рощи	4	1437
сообща	4	1438
оврага	4	1439
ртуть	4	1440
взял	4	1441
новым	4	1442
сел	4	1443
каждом	4	1444
доски	4	1445
квартире	4	1446
новой	4	1447
Руки	4	1448
зубы	4	1449
видишь	4	1450
долой	4	1451
шутя	4	1452
соловей	4	1453
краски	4	1454
новое	4	1455
цел	4	1456
плакать	4	1457
идти	4	1458
поэтов	4	1459
Двух	4	1460
бороды	4	1461
фигуры	4	1462
высот	4	1463
овраге	4	1464
гений	4	1465
След	4	1466
говорю	4	1467
высоте	4	1468
красоту	4	1469
взасос	4	1470
дум	4	1471
банный	4	1472
берегу	4	1473
степной	4	1474
пена	4	1475
Последней	4	1476
Прибой	4	1477
мрака	4	1478
ходят	4	1479
Бегут	4	1480
гомон	4	1481
портняжной	4	1482
вал	4	1483
мыслью	4	1484
копной	4	1485
недавних	4	1486
стоны	4	1487
брат	4	1488
зим	4	1489
знакомых	4	1490
вина	4	1491
внезапно	4	1492
гнев	4	1493
голубой	4	1494
Любить	4	1495
кучей	4	1496
колен	4	1497
рамы	4	1498
Смотрел	4	1499
героям	4	1500
Петербург	4	1501
желтый	4	1502
плачет	4	1503
увидел	4	1504
поутру	4	1505
книги	4	1506
очей	4	1507
страшный	4	1508
скул	4	1509
днях	4	1510
боясь	4	1511
зверь	4	1512
гребни	4	1513
угла	4	1514
утру	4	1515
льдин	4	1516
дорога	4	1517
Впотьмах	4	1518
часах	4	1519
пожирая	4	1520
мозгу	4	1521
царств	4	1522
играют	4	1523
хвост	4	1524
рост	4	1525
вино	4	1526
играет	4	1527
поют	4	1528
минуту	4	1529
белил	4	1530
рельс	4	1531
глазами	4	1532
Степь	4	1533
класс	4	1534
стояли	4	1535
ждал	4	1536
шляпа	4	1537
ввысь	4	1538
ладонью	4	1539
раскатах	4	1540
плачь	4	1541
великой	4	1542
зарев	4	1543
рвут	4	1544
боль	4	1545
озер	4	1546
осенний	4	1547
страх	4	1548
ноября	4	1549
старше	4	1550
скрыть	4	1551
месте	4	1552
небывалый	4	1553
рассвета	4	1554
вширь	4	1555
статься	4	1556
серебре	4	1557
лицу	4	1558
Год	4	1559
герой	4	1560
пятый	4	1561
следам	4	1562
мертвой	4	1563
сожгла	4	1564
Дверь	4	1565
Светало	4	1566
грозу	4	1567
опушки	4	1568
оконных	4	1569
чащей	4	1570
зиме	4	1571
знак	4	1572
кожей	4	1573
пройдет	4	1574
толпа	4	1575
Внезапно	4	1576
песнью	4	1577
восторг	4	1578
Слева	4	1579
дуло	4	1580
красотой	4	1581
остался	4	1582
пуль	4	1583
картины	4	1584
судеб	4	1585
оград	4	1586
ставит	4	1587
мечты	4	1588
случилось	4	1589
Верст	4	1590
ружьем	4	1591
преисподней	3	1592
Реки	3	1593
Движенье	3	1594
ставень	3	1595
расспросов	3	1596
треском	3	1597
мытарств	3	1598
бездонной	3	1599
сухой	3	1600
убранство	3	1601
содержанье	3	1602
шестом	3	1603
норов	3	1604
салфетки	3	1605
стоп	3	1606
слышалось	3	1607
глуби	3	1608
напор	3	1609
ступень	3	1610
хозяйничать	3	1611
Травой	3	1612
окошко	3	1613
орел	3	1614
ржи	3	1615
сзади	3	1616
трогать	3	1617
разрыдаться	3	1618
листва	3	1619
пришел	3	1620
думала	3	1621
Грозы	3	1622
внес	3	1623
Большой	3	1624
мелочи	3	1625
тихой	3	1626
зеркал	3	1627
лесные	3	1628
тоскою	3	1629
пургой	3	1630
сводов	3	1631
весу	3	1632
экономий	3	1633
склада	3	1634
лошадей	3	1635
Близнец	3	1636
чайных	3	1637
мешали	3	1638
горла	3	1639
ожил	3	1640
роем	3	1641
присутствие	3	1642
волнуется	3	1643
черно	3	1644
мачт	3	1645
номера	3	1646
мосты	3	1647
рока	3	1648
грозы	3	1649
корпус	3	1650
залы	3	1651
Спать	3	1652
ждет	3	1653
смертельно	3	1654
сроков	3	1655
горсть	3	1656
клин	3	1657
садовых	3	1658
скорбь	3	1659
поэм	3	1660
лодки	3	1661
Идем	3	1662
пену	3	1663
кустарник	3	1664
коридор	3	1665
каменной	3	1666
жарко	3	1667
луч	3	1668
колеи	3	1669
строф	3	1670
расчеты	3	1671
бабы	3	1672
комок	3	1673
приближается	3	1674
молодость	3	1675
Синеет	3	1676
красным	3	1677
скатерть	3	1678
крыльев	3	1679
деревьями	3	1680
Одесса	3	1681
красоты	3	1682
хозяев	3	1683
клекот	3	1684
сквозном	3	1685
пастью	3	1686
тягость	3	1687
дел	3	1688
крапивы	3	1689
обороны	3	1690
праведница	3	1691
костры	3	1692
морды	3	1693
вихри	3	1694
будущность	3	1695
против	3	1696
обед	3	1697
силах	3	1698
рудника	3	1699
смертью	3	1700
Смеркалось	3	1701
сквозной	3	1702
Крепнет	3	1703
переплет	3	1704
слышится	3	1705
парком	3	1706
квартир	3	1707
